venta_id,fecha,cliente_id,juego_id,plataforma,precio,cantidad,metodo_pago,vendedor
V00001,2024-05-20,C0126,JV004,Switch,279.9,1,Yape,Carlos
V00002,2024-10-29,C0217,JV018,Switch,129.9,1,Efectivo,Carlos
V00003,2024-09-15,C0309,JV007,PS5,249.9,1,Tarjeta Débito,María
V00004,2024-04-22,C0230,JV018,PC,129.9,1,Plin,Carlos
V00005,2024-08-04,C0175,JV006,Xbox,219.9,2,Yape,María
V00006,2024-02-17,C0195,JV011,PS5,219.9,1,Plin,José
V00007,2024-01-23,C0374,JV020,PS5,179.9,1,Tarjeta Débito,Carlos
V00008,2024-10-09,C0151,JV013,PS5,269.9,1,Plin,Luis
V00009,2024-02-05,C0024,JV007,PS5,249.9,2,Plin,Carlos
V00010,2024-02-21,C0195,JV008,Xbox,239.9,3,Tarjeta Crédito,José
V00011,2024-06-30,C0108,JV006,Xbox,219.9,1,Efectivo,Luis
V00012,2024-05-05,C0084,JV006,Switch,219.9,2,Tarjeta Crédito,José
V00013,2024-12-16,C0167,JV018,Switch,129.9,1,Yape,Carlos
V00014,2024-05-17,C0034,JV011,PS5,219.9,1,Tarjeta Débito,José
V00015,2024-09-12,C0203,JV007,PS5,249.9,2,Yape,José
V00016,2024-10-14,C0276,JV005,PS5,299.9,1,Tarjeta Débito,Ana
V00017,2024-07-04,C0113,JV019,Switch,249.9,1,Tarjeta Débito,Ana
V00018,2024-01-25,C0441,JV003,PS5,229.9,3,Yape,María
V00019,2024-02-02,C0198,JV014,Switch,259.9,2,Tarjeta Débito,Ana
V00020,2024-10-10,C0441,JV017,PS5,219.9,1,Efectivo,Luis
V00021,2024-11-24,C0175,JV009,Switch,199.9,3,Plin,Ana
V00022,2024-01-02,C0489,JV006,Xbox,219.9,1,Tarjeta Débito,María
V00023,2024-11-16,C0153,JV017,PC,219.9,1,Tarjeta Débito,María
V00024,2024-03-23,C0277,JV005,PS5,299.9,1,Efectivo,Luis
V00025,2024-01-10,C0058,JV011,PS5,219.9,1,Plin,María
V00026,2024-10-17,C0485,JV002,PS5,249.9,1,Efectivo,Ana
V00027,2024-09-29,C0393,JV003,PS5,229.9,3,Yape,Ana
V00028,2024-05-15,C0271,JV018,PC,129.9,1,Tarjeta Crédito,María
