juego_id,titulo,plataforma,stock,umbral,precio
JV0412,Final Fantasy XVI,PC,0,3,153.94
JV0413,Baldur's Gate 3,PC,0,10,222.78
JV0426,Call of Duty MW3,Xbox,0,3,188.13
JV0433,Spider-Man 2,PS5,0,3,145.76
JV0435,Mortal Kombat 1,Switch,0,8,203.1
JV0449,Call of Duty MW3,Xbox,0,3,229.1
JV0454,Dead Space Remake,PS5,0,6,259.33
JV0457,Zelda TOTK,Xbox,0,8,226.13
JV0488,Hogwarts Legacy,Switch,0,3,241.01
JV0494,Spider-Man 2,Switch,0,5,273.73
JV0501,Mario Kart 8 Deluxe,Switch,0,10,285.94
JV0506,Dead Space Remake,Switch,0,8,209.6
JV0525,Zelda TOTK,PC,0,4,237.89
JV0528,Gran Turismo 7,Switch,0,3,257.02
JV0544,Cyberpunk 2077,Switch,0,3,120.14
JV0546,Super Mario Wonder,PS5,0,6,297.99
JV0555,Zelda TOTK,Xbox,0,7,160.99
JV0566,Super Mario Wonder,PS5,0,6,200.02
JV0570,Final Fantasy XVI,PS5,0,3,294.46
JV0589,Spider-Man 2,PS5,0,6,223.85
JV0590,Dead Space Remake,Xbox,0,4,144.29
JV0592,God of War Ragnarök,Xbox,0,7,122.96
JV0598,Zelda TOTK,PC,0,6,140.51
JV0615,Hogwarts Legacy,Xbox,0,5,154.67
JV0630,Super Mario Wonder,PS4,0,9,150.98
JV0633,Minecraft,Xbox,0,6,135.18
JV0668,Minecraft,Xbox,0,10,240.78
JV0673,Hogwarts Legacy,PS5,0,7,250.77
JV0690,God of War Ragnarök,Xbox,0,4,225.56
JV0707,Hogwarts Legacy,PS5,0,10,284.11
JV0721,Dead Space Remake,PS5,0,4,165.44
JV0749,Minecraft,PC,0,9,182.42
JV0758,Baldur's Gate 3,Switch,0,10,258.02
JV0761,Cyberpunk 2077,PC,0,8,178.66
JV0766,Zelda TOTK,Xbox,0,10,236.69
JV0784,Mortal Kombat 1,PS5,0,8,284.18
JV0812,Baldur's Gate 3,PS5,0,5,277.54
JV0825,Mario Kart 8 Deluxe,PS5,0,6,170.97
JV0832,Gran Turismo 7,PS5,0,6,140.68
JV0845,Spider-Man 2,PC,0,7,165.87
JV0860,Zelda TOTK,PC,0,9,219.21
JV0866,Gran Turismo 7,PS4,0,10,117.79
JV0892,Final Fantasy XVI,PC,0,5,204.43
JV0910,Diablo IV,PS4,0,10,225.95
JV0926,God of War Ragnarök,PS5,0,4,288.83
JV0939,Dead Space Remake,PS4,0,5,240.99
JV0947,Cyberpunk 2077,PS5,0,5,140.22
JV0949,Mario Kart 8 Deluxe,Switch,0,4,193.49
JV0956,Call of Duty MW3,PC,0,5,208.57
JV0972,Dead Space Remake,PS5,0,8,148.22
JV0975,Spider-Man 2,PS4,0,6,183.87
JV0981,Zelda TOTK,PS5,0,8,284.17
JV0991,Hogwarts Legacy,Xbox,0,10,299.99
JV0993,Minecraft,Xbox,0,5,206.76
JV0001,Minecraft,PS5,0,8,287.66
JV0024,Elden Ring,PS5,0,5,121.08
JV0026,Diablo IV,PS4,0,5,210.63
JV0034,Minecraft,Xbox,0,3,198.66
JV0035,Mario Kart 8 Deluxe,Xbox,0,10,293.53
JV0052,Gran Turismo 7,PC,0,10,285.06
JV0063,Gran Turismo 7,Xbox,0,4,227.07
JV0064,Elden Ring,PS5,0,4,176.21
JV0065,Minecraft,Switch,0,10,270.26
JV0073,God of War Ragnarök,Xbox,0,6,140.66
JV0094,Call of Duty MW3,Switch,0,5,217.75
JV0096,Mortal Kombat 1,PS5,0,7,113.99
JV0106,Minecraft,Xbox,0,4,118.37
JV0113,Minecraft,Switch,0,6,135.52
JV0126,Super Mario Wonder,PC,0,10,293.18
JV0137,Spider-Man 2,PC,0,6,291.99
JV0144,Zelda TOTK,PS4,0,6,128.96
JV0179,Final Fantasy XVI,Xbox,0,6,107.5
JV0183,Minecraft,PS4,0,5,235.82
JV0193,Gran Turismo 7,Switch,0,6,214.95
JV0195,Mario Kart 8 Deluxe,PS5,0,4,170.07
JV0196,Call of Duty MW3,Xbox,0,4,234.99
JV0198,Super Mario Wonder,PC,0,6,284.97
JV0206,God of War Ragnarök,PC,0,8,101.37
JV0212,Zelda TOTK,Xbox,0,6,121.21
JV0216,Elden Ring,Switch,0,9,260.68
JV0233,Final Fantasy XVI,PS4,0,10,167.96
JV0234,Baldur's Gate 3,PS5,0,3,126.86
JV0253,Elden Ring,Switch,0,10,286.0
JV0266,Baldur's Gate 3,PS5,0,5,273.96
JV0268,God of War Ragnarök,Switch,0,8,157.65
JV0295,Elden Ring,PC,0,8,172.02
JV0304,Minecraft,Xbox,0,8,115.77
JV0308,FIFA 24,Xbox,0,5,276.99
JV0318,Super Mario Wonder,Switch,0,7,220.44
JV0328,Call of Duty MW3,PC,0,4,270.9
JV0359,Diablo IV,Switch,0,4,217.32
JV0366,FIFA 24,Xbox,0,3,108.9
JV0367,Dead Space Remake,PS5,0,4,196.56
JV0375,Dead Space Remake,Switch,0,3,244.93
JV0396,Hogwarts Legacy,PC,0,8,221.42
JV0406,Elden Ring,Switch,0,6,115.44
JV0432,Cyberpunk 2077,Switch,1,3,142.4
JV0435,Mortal Kombat 1,PC,1,8,204.1
JV0467,Diablo IV,PC,1,7,263.76
JV0508,God of War Ragnarök,PS4,1,3,148.63
JV0533,Cyberpunk 2077,Switch,1,4,295.77
JV0545,Spider-Man 2,PS5,1,8,241.91
JV0555,Zelda TOTK,PC,1,10,175.22
JV0561,Mario Kart 8 Deluxe,PC,1,9,268.71
JV0564,Super Mario Wonder,PS5,1,6,237.39
JV0569,Spider-Man 2,Xbox,1,10,106.75
JV0599,Resident Evil 4,PS5,1,4,171.45
JV0602,Elden Ring,PS4,1,3,178.07
JV0612,Diablo IV,PS5,1,3,186.09
JV0618,Minecraft,PC,1,4,112.12
JV0625,Cyberpunk 2077,Xbox,1,10,152.88
JV0633,Minecraft,PC,1,4,154.04
JV0638,Minecraft,PS4,1,3,161.07
JV0643,Zelda TOTK,Xbox,1,7,179.14
JV0644,Dead Space Remake,Xbox,1,7,155.71
JV0651,Mario Kart 8 Deluxe,Switch,1,4,232.38
JV0654,Zelda TOTK,PC,1,10,132.54
JV0654,Zelda TOTK,PS5,1,3,298.82
JV0662,Zelda TOTK,PS4,1,3,236.55
JV0717,Zelda TOTK,Xbox,1,10,209.51
JV0720,Diablo IV,PC,1,7,282.91
JV0725,Super Mario Wonder,PC,1,8,166.36
JV0774,Cyberpunk 2077,PS5,1,5,103.32
JV0778,Hogwarts Legacy,Xbox,1,4,137.85
JV0789,Super Mario Wonder,Xbox,1,4,223.27
JV0791,Super Mario Wonder,Switch,1,9,192.27
JV0800,Hogwarts Legacy,Xbox,1,8,244.85
JV0801,Mortal Kombat 1,Xbox,1,10,155.39
JV0802,Baldur's Gate 3,PS4,1,7,166.35
JV0811,God of War Ragnarök,PC,1,8,287.59
