anio,mes,num_transacciones,total_unidades,ingresos_mes,ticket_promedio,clientes_unicos
2024,1,4240,6614,1562718.6,368.57,499
2024,2,4129,6553,1553174.7,376.16,500
2024,3,4303,6789,1609271.1,373.99,500
2024,4,4131,6419,1524048.1,368.93,500
2024,5,4216,6639,1576686.1,373.98,500
2024,6,4042,6400,1514510.0,374.69,499
2024,7,4216,6613,1574608.7,373.48,499
2024,8,4154,6486,1536251.4,369.82,500
2024,9,4190,6682,1590361.8,379.56,499
2024,10,4193,6637,1573656.3,375.31,500
2024,11,4076,6413,1524158.7,373.93,500
2024,12,4110,6417,1528548.3,371.91,500
