plataforma,total_ventas,ingresos,ticket_promedio,ventas_riesgo,batch_id
Xbox,1,439.8,439.8,1,0
Switch,1,289.9,289.9,0,0
PS4,1,269.9,269.9,0,0
Xbox,56,21350.6,381.26,13,1
PC,56,20111.6,359.14,15,1
Switch,49,17692.4,361.07,11,1
PS5,45,16523.3,367.18,9,1
PS4,38,14114.2,371.43,15,1
PS5,16,6947.1,434.19,7,2
Switch,15,5417.8,361.19,5,2
PC,11,5258.0,478.0,3,2
Xbox,18,5167.6,287.09,4,2
PS4,11,4448.2,404.38,2,2
PC,46,17642.5,383.53,11,3
Switch,39,14613.4,374.7,13,3
PS5,39,14273.9,366.0,8,3
Xbox,41,14263.8,347.9,10,3
PS4,39,13763.8,352.92,8,3
PS5,16,7856.7,491.04,2,4
Xbox,19,7137.2,375.64,3,4
PS4,12,4868.1,405.67,4,4
PC,14,4238.2,302.73,4,4
Switch,12,4098.2,341.52,3,4
PC,14,5107.8,364.84,1,5
Switch,11,4718.0,428.91,3,5
PS4,9,3898.4,433.16,3,5
Xbox,7,2399.0,342.71,3,5
PS5,3,1089.5,363.17,0,5
PS4,22,8546.4,388.47,4,6
Switch,23,8116.6,352.9,6,6
Xbox,20,6927.1,346.35,3,6
PS5,20,5917.3,295.86,6,6
PC,14,5137.9,366.99,3,6
Switch,5,2599.0,519.8,0,7
PC,1,599.7,599.7,0,7
PS4,2,409.8,204.9,0,7
PS5,1,239.9,239.9,0,7
PS5,2928,1133567.0,387.15,655,8
Switch,1447,516070.1,356.65,332,8
PC,852,300643.6,352.87,183,8
Xbox,706,243328.0,344.66,127,8
PS4,262,101939.6,389.08,68,8
PS5,49,18402.5,375.56,10,9
Switch,25,8326.4,333.06,10,9
PC,15,4627.9,308.53,4,9
Xbox,10,3708.3,370.83,1,9
PS4,6,2119.2,353.2,1,9
PS5,250,100530.4,402.12,53,10
Switch,114,38632.2,338.88,36,10
PC,58,21490.5,370.53,12,10
Xbox,59,20710.5,351.03,8,10
PS4,19,8076.7,425.09,6,10
PS5,28,10675.5,381.27,5,11
Switch,12,4128.0,344.0,3,11
Xbox,10,3278.5,327.85,2,11
PC,7,2379.0,339.86,1,11
PS4,6,2029.2,338.2,1,11
PS5,208,72760.9,349.81,49,12
Switch,104,36473.1,350.7,24,12
PC,62,21370.3,344.68,14,12
Xbox,43,14793.3,344.03,10,12
PS4,20,8606.5,430.32,7,12
PS5,196,75630.2,385.87,45,13
Switch,96,35404.5,368.8,19,13
PC,54,19831.1,367.24,12,13
Xbox,55,17291.7,314.39,12,13
PS4,14,5447.9,389.14,4,13
PS5,37,15533.9,419.84,7,14
Switch,21,8016.5,381.74,5,14
PC,14,5177.6,369.83,4,14
Xbox,12,5087.8,423.98,2,14
PS4,1,599.8,599.8,0,14
PS5,209,83736.5,400.65,51,15
Switch,99,35114.5,354.69,19,15
Xbox,53,17692.1,333.81,8,15
PC,50,17671.9,353.44,15,15
PS4,18,5687.8,315.99,6,15
PS5,299,121841.7,407.5,73,16
Switch,118,39652.3,336.04,29,16
PC,77,27497.4,357.11,14,16
Xbox,59,20800.5,352.55,15,16
PS4,16,7137.3,446.08,4,16
PS5,40,14904.0,372.6,8,17
Switch,16,5277.8,329.86,3,17
Xbox,12,4108.1,342.34,3,17
PC,6,2808.6,468.1,2,17
PS4,6,2059.2,343.2,1,17
PS5,31,10615.5,342.44,7,18
Switch,17,5807.1,341.59,3,18
PC,7,2858.7,408.39,2,18
Xbox,8,2668.8,333.6,2,18
PS4,2,539.8,269.9,1,18
PS5,17,7447.1,438.06,9,19
Switch,16,5357.6,334.85,2,19
Xbox,7,3078.5,439.79,1,19
PC,6,1759.1,293.18,2,19
PS4,3,1059.5,353.17,2,19
PS5,37,12854.6,347.42,9,20
Switch,13,5207.6,400.58,4,20
PC,12,5137.7,428.14,2,20
Xbox,15,4057.8,270.52,2,20
PS4,3,1779.3,593.1,0,20
PS5,35,10645.8,304.17,7,21
Switch,28,9835.7,351.28,5,21
Xbox,10,3268.5,326.85,0,21
PS4,5,1759.2,351.84,1,21
PC,4,949.5,237.38,3,21
PS5,38,14834.1,390.37,8,22
Switch,17,5497.4,323.38,0,22
Xbox,13,4407.9,339.07,1,22
PC,13,3658.0,281.38,5,22
PS4,6,1509.4,251.57,0,22
PS5,29,11925.4,411.22,5,23
Switch,14,5317.8,379.84,0,23
PC,9,2668.8,296.53,4,23
Xbox,5,1679.3,335.86,0,23
PS4,2,459.8,229.9,1,23
